ky	kx	wcc_0	wcc_1
0.125	0.75	-0.2819720509702227	0.08186907744713884
0.125	0.775	-0.2819575428694197	0.081760334152322
0.125	0.8	-0.28200097445551703	0.08208559682949618
0.125	0.8250000000000001	-0.28210123780988233	0.08283336988565798
0.125	0.8500000000000001	-0.2822557788735498	0.08397755361582113
0.125	0.875	-0.2824606714611922	0.08547909406160317
0.125	0.9	-0.28271073165764954	0.08728834488616831
0.125	0.925	-0.2829996694597597	0.08934787809868412
0.125	0.9500000000000001	-0.2833202726545594	0.09159545500964475
0.125	0.9750000000000001	-0.2836646159410837	0.09396688794562635
0.125	1.0	-0.2840242866141108	0.09639857806614655
0.15000000000000002	0.0	-0.2955462475438657	0.17529749745873915
0.15000000000000002	0.025	-0.29581740195531214	0.17672945373863896
0.15000000000000002	0.05	-0.2960805890490463	0.17809322436934363
0.15000000000000002	0.07500000000000001	-0.2963297993643828	0.17936209443735665
0.15000000000000002	0.1	-0.29655945078656776	0.18051296930470434
0.15000000000000002	0.125	-0.29676449502260993	0.1815262762493638
0.15000000000000002	0.15000000000000002	-0.2969405040516617	0.18238579908514466
0.15000000000000002	0.17500000000000002	-0.29708373770772184	0.18307848807357635
0.15000000000000002	0.2	-0.2971911943921709	0.18359427489145153
0.15000000000000002	0.225	-0.29726064733464813	0.18392591210095433
0.15000000000000002	0.25	-0.29729066883545885	0.18406884889698888
0.15000000000000002	0.275	-0.2972806445809969	0.18402114967560831
0.15000000000000002	0.30000000000000004	-0.2972307795024599	0.18378345865094703
0.15000000000000002	0.325	-0.29714209584171575	0.18335901167958735
0.15000000000000002	0.35000000000000003	-0.2970164232007686	0.1827536949210118
0.15000000000000002	0.375	-0.2968563794909641	0.18197614825301056
0.15000000000000002	0.4	-0.29666534097169894	0.1810379087557927
0.15000000000000002	0.42500000000000004	-0.29644739907603945	0.17995358538271466
0.15000000000000002	0.45	-0.296207301548983	0.17874104953522435
0.15000000000000002	0.47500000000000003	-0.29595037563777515	0.17742161726003702
0.15000000000000002	0.5	-0.29568243170528963	0.17602018724975074
0.15000000000000002	0.525	-0.2954096466766084	0.17456528561104107
0.15000000000000002	0.55	-0.2951384281131286	0.17308895550167683
0.15000000000000002	0.5750000000000001	-0.29487526131858083	0.17162642072405296
0.15000000000000002	0.6000000000000001	-0.2946265435453109	0.17021545208809585
