ky	kz	wcc_0	wcc_1
0.15000000000000002	0.2	-2.3852447794681098e-18	-4.996003610813209e-16
0.15000000000000002	0.225	1.1102230246251605e-16	-9.698188432882878e-17
0.15000000000000002	0.25	9.714451465470099e-17	-8.996167526198466e-17
0.15000000000000002	0.275	2.0301685679791052e-17	-1.1449174941446956e-16
0.15000000000000002	0.30000000000000004	-2.3561068460825597e-17	-6.938893903907215e-17
0.15000000000000002	0.325	4.685786264210792e-18	-6.938893903907219e-18
0.15000000000000002	0.35000000000000003	-5.6175225061905314e-18	1.387778780781446e-17
0.15000000000000002	0.375	4.130810277169782e-17	-1.3417001884508139e-17
0.15000000000000002	0.4	-5.5104575416575886e-17	1.1102230246251585e-16
0.15000000000000002	0.42500000000000004	1.7618285302889435e-18	-1.9428902930940262e-16
0.15000000000000002	0.45	2.775557561562899e-17	-4.3530717225292966e-17
0.15000000000000002	0.47500000000000003	1.8041124150158786e-16	-1.3921155894713857e-16
0.15000000000000002	0.5	-2.005774019098183e-17	-2.7755575615628933e-16
0.15000000000000002	0.525	1.7802599672211958e-16	3.608224830031755e-16
0.15000000000000002	0.55	6.661338147750956e-16	-8.239936510889835e-18
0.15000000000000002	0.5750000000000001	-0.0	4.3368086899419956e-19
0.15000000000000002	0.6000000000000001	-1.201296007113943e-16	-6.938893903907253e-16
0.15000000000000002	0.625	2.2204460492503136e-16	-3.950832716537176e-16
0.15000000000000002	0.65	-1.1102230246251568e-16	1.1058862159352098e-15
0.15000000000000002	0.675	-4.440892098500636e-16	9.71445146547015e-16
0.15000000000000002	0.7000000000000001	-3.3306690738754603e-16	4.614364446098303e-16
0.15000000000000002	0.7250000000000001	9.714451465470096e-17	-7.771561172376075e-16
0.15000000000000002	0.75	1.7715863498413128e-16	-2.2204460492503052e-16
0.15000000000000002	0.775	-4.125389266307337e-17	-6.59194920871187e-17
0.15000000000000002	0.8	2.768171434262832e-16	-2.7755575615628815e-16
0.15000000000000002	0.8250000000000001	-5.55111512312579e-17	1.65300173722571e-16
0.15000000000000002	0.8500000000000001	6.938893903907211e-17	-8.109832250191535e-17
0.15000000000000002	0.875	5.654609105423342e-17	-3.885780586188033e-16
0.15000000000000002	0.9	5.551115123125785e-17	-1.9602375278537898e-16
0.15000000000000002	0.925	-5.273559366969492e-16	3.885780586188047e-16
0.15000000000000002	0.9500000000000001	3.330669073875468e-16	-5.30825383648903e-16
0.15000000000000002	0.9750000000000001	5.551115123125791e-17	9.43689570931386e-16
0.15000000000000002	1.0	-7.95804394604359e-17	3.469446951953604e-17
0.17500000000000002	0.0	-1.138412281109776e-16	-4.440892098500621e-16
0.17500000000000002	0.025	-3.9638431426070077e-16	8.396061623727751e-16
0.17500000000000002	0.05	1.1102230246251553e-16	2.844946500601965e-16
0.17500000000000002	0.07500000000000001	-0.0	-1.5308934675495303e-16
0.17500000000000002	0.1	3.25260651745652e-16	-1.60982338570648e-15
0.17500000000000002	0.125	-6.071532165918822e-17	1.110223024625157e-16
0.17500000000000002	0.15000000000000002	-3.389215991189683e-16	5.551115123125785e-17
0.17500000000000002	0.17500000000000002	3.1086244689504383e-15	-3.663735981263016e-15
0.17500000000000002	0.2	-8.337514706413518e-17	-5.551115123125768e-16
0.17500000000000002	0.225	-1.4040418133687255e-17	-9.714451465470074e-17
0.17500000000000002	0.25	4.1633363423443333e-17	-0.0
0.17500000000000002	0.275	3.504683522559388e-17	1.1102230246251558e-16
0.17500000000000002	0.30000000000000004	5.149960319306144e-19	6.938893903907208e-18
0.17500000000000002	0.325	-0.0	-1.6710265983432843e-17
0.17500000000000002	0.35000000000000003	-6.071532165918806e-18	-9.242823520438907e-18
0.17500000000000002	0.375	4.1633363423443296e-17	-2.8460307027744506e-19
0.17500000000000002	0.4	-6.423897871976611e-18	1.1102230246251568e-16
0.17500000000000002	0.42500000000000004	2.7565840235443845e-17	6.938893903907221e-17
0.17500000000000002	0.45	4.201283418381335e-17	2.2898349882893844e-16
0.17500000000000002	0.47500000000000003	2.6996634094889073e-17	6.938893903907227e-18
0.17500000000000002	0.5	-1.3617579286417933e-16	3.3306690738754726e-16
0.17500000000000002	0.525	-0.0	-4.33680868994202e-19
0.17500000000000002	0.55	7.806255641895627e-18	-1.665334536937733e-16
0.17500000000000002	0.5750000000000001	1.1275702593849246e-16	-8.881784197001244e-16
0.17500000000000002	0.6000000000000001	-3.3306690738754765e-16	2.1206994493816494e-16
0.17500000000000002	0.625	-3.950832716537177e-16	-2.2759572004815654e-15
0.17500000000000002	0.65	-2.775557561562893e-17	-4.440892098500631e-16
0.17500000000000002	0.675	4.440892098500621e-16	9.159339953157526e-16
0.17500000000000002	0.7000000000000001	-2.5977484052752745e-16	2.498001805406598e-16
0.17500000000000002	0.7250000000000001	2.2204460492503155e-16	-6.266688556966224e-17
0.17500000000000002	0.75	7.589415207398515e-19	-2.2204460492503091e-16
0.17500000000000002	0.775	-2.636779683484749e-16	5.551115123125787e-16
0.17500000000000002	0.8	4.95236447337065e-16	-0.0
0.17500000000000002	0.8250000000000001	1.1102230246251536e-16	2.1761631667678637e-16
0.17500000000000002	0.8500000000000001	-1.5959455978986576e-16	-5.001430538504329e-16
0.17500000000000002	0.875	-0.0	2.2289502600407443e-16
0.17500000000000002	0.9	6.938893903907231e-17	-9.367506770274773e-17
0.17500000000000002	0.925	-1.1102230246251489e-16	1.6328084717631618e-16
0.17500000000000002	0.9500000000000001	1.3877787807814435e-16	-5.551115123125776e-16
0.17500000000000002	0.9750000000000001	-1.9428902930940232e-16	3.42960252211478e-16
0.17500000000000002	1.0	4.5102810375396984e-17	5.551115123125771e-16
0.2	0.0	-1.1102230246251583e-16	-1.7336392738043218e-16
0.2	0.025	-5.46437894932694e-16	4.440892098500626e-16
0.2	0.05	5.555451931815715e-16	1.7069679003611729e-15
0.2	0.07500000000000001	-2.1965936014556305e-16	4.44089209850063e-16
0.2	0.1	1.5959455978986628e-16	-7.771561172376103e-16
0.2	0.125	-5.117434254131573e-17	1.443289932012701e-15
0.2	0.15000000000000002	-4.44089209850063e-16	-6.049848122469136e-17
0.2	0.17500000000000002	-1.2490009027033038e-16	-3.894454203567934e-16
0.2	0.2	1.7763568394002505e-15	-2.0261570199409107e-15
0.2	0.225	-1.0917915876929031e-16	-1.4571677198205148e-16
0.2	0.25	-1.3498317047444506e-17	9.714451465470105e-17
0.2	0.275	1.2468324983583299e-16	-5.551115123125774e-17
0.2	0.30000000000000004	-0.0	1.512462030617279e-17
0.2	0.325	1.7265919596831652e-17	2.0816681711721697e-17
0.2	0.35000000000000003	-2.6020852139652106e-18	6.284984468626905e-18
0.2	0.375	-2.03016856797911e-17	-5.551115123125784e-17
0.2	0.4	-1.1102230246251546e-16	2.2204460492503091e-16
0.2	0.42500000000000004	3.816391647148984e-17	1.3579632210380928e-17
0.2	0.45	-5.3993268189778096e-17	-1.6653345369377346e-16
0.2	0.47500000000000003	-1.5612511283791298e-17	1.80411241501588e-16
0.2	0.5	-1.127570259384923e-16	1.1102230246251588e-16
0.2	0.525	-3.33066907387548e-16	5.273559366969511e-16
0.2	0.55	3.2873009869760534e-16	-5.551115123125787e-16
0.2	0.5750000000000001	2.7755575615628943e-16	-2.8015784137025385e-16
0.2	0.6000000000000001	6.440160904563895e-17	1.1102230246251556e-16
0.2	0.625	-4.440892098500633e-16	-3.3545215216701483e-16
0.2	0.65	-2.608590427000125e-16	-6.661338147750951e-16
0.2	0.675	3.3306690738754736e-16	3.2764589652511865e-16
0.2	0.7000000000000001	-5.55111512312579e-17	4.128641872824801e-16
0.2	0.7250000000000001	-0.0	-1.1340754724198384e-16
0.2	0.75	8.049116928532383e-16	-8.881784197001248e-16
0.2	0.775	-1.7574917215990032e-16	-1.3877787807814422e-16
0.2	0.8	2.081668171172171e-16	-5.204170427930418e-18
0.2	0.8250000000000001	1.1102230246251528e-16	3.413508249589273e-16
0.2	0.8500000000000001	7.632783294297934e-17	3.9577106240688777e-16
0.2	0.875	-1.6940658945086003e-21	-1.9428902930940247e-16
0.2	0.9	-0.0	2.2089941638034344e-16
0.2	0.925	-4.4408920985006173e-16	4.0939474033052583e-16
0.2	0.9500000000000001	-0.0	-7.724940478959214e-18
0.2	0.9750000000000001	1.1102230246251575e-16	5.846018114041854e-16
0.2	1.0	2.2204460492503175e-16	-7.49400541621982e-16
0.225	0.0	-3.395721204224605e-16	7.494005416219836e-16
0.225	0.025	-0.0	5.225854471380129e-17
0.225	0.05	-4.16333634234434e-17	1.2212453270876734e-15
0.225	0.07500000000000001	-2.2204460492503126e-16	1.1188966420050393e-16
0.225	0.1	5.984795992119975e-17	1.3877787807814444e-17
0.225	0.125	-0.0	1.6024508109335775e-16
0.225	0.15000000000000002	-2.220446049250313e-16	4.579669976578775e-16
0.225	0.17500000000000002	-2.1857515797307745e-16	3.3306690738754637e-16
0.225	0.2	2.2204460492503126e-16	1.951563910473904e-18
0.225	0.225	1.5543122344752182e-15	-1.970645868709652e-15
0.225	0.25	2.829767670187174e-17	-1.439820485060749e-16
0.225	0.275	3.4694469519536127e-16	-6.661338147750939e-16
0.225	0.30000000000000004	5.61616725347491e-17	1.1102230246251548e-16
0.225	0.325	6.204346932048289e-17	-5.5511151231257605e-17
0.225	0.35000000000000003	1.384390648992431e-17	2.775557561562899e-17
0.225	0.375	-5.454892180317714e-19	-1.1102230246251573e-16
